Surrogate_Key,Player,Age,G,GS,MP_PERGAME,FG_PERGAME,FGA_PERGAME,FG%_PERGAME,3P_PERGAME,3PA_PERGAME,3P%_PERGAME,2P_PERGAME,2PA_PERGAME,2P%_PERGAME,eFG%_PERGAME,FT_PERGAME,FTA_PERGAME,FT%_PERGAME,ORB_PERGAME,DRB_PERGAME,TRB_PERGAME,AST_PERGAME,STL_PERGAME,BLK_PERGAME,TOV_PERGAME,PF_PERGAME,PTS_PERGAME,PER_ADVANCED,TS%_ADVANCED,3PAr_ADVANCED,FTr_ADVANCED,ORB%_ADVANCED,DRB%_ADVANCED,TRB%_ADVANCED,AST%_ADVANCED,STL%_ADVANCED,BLK%_ADVANCED,TOV%_ADVANCED,USG%_ADVANCED,OWS_ADVANCED,DWS_ADVANCED,WS_ADVANCED,WS/48_ADVANCED,OBPM_ADVANCED,DBPM_ADVANCED,BPM_ADVANCED,VORP_ADVANCED,MP_TOTAL,FG_TOTAL,FGA_TOTAL,FG%_TOTAL,3P_TOTAL,3PA_TOTAL,3P%_TOTAL,2P_TOTAL,2PA_TOTAL,2P%_TOTAL,eFG%_TOTAL,FT_TOTAL,FTA_TOTAL,FT%_TOTAL,ORB_TOTAL,DRB_TOTAL,TRB_TOTAL,AST_TOTAL,STL_TOTAL,BLK_TOTAL,TOV_TOTAL,PF_TOTAL,PTS_TOTAL,Seed,PCT,MVP Rank,MVP Votes Share,Season
100,Justin Champagnie,20,36,0,7.8,0.9,1.9,0.463,0.3,0.8,0.357,0.6,1.1,0.538,0.537,0.3,0.3,1.0,1.0,1.0,2.0,0.3,0.2,0.1,0.2,0.9,2.3,13.6,0.571,0.418,0.134,13.5,14.3,13.9,5.4,1.4,1.4,10.1,12.0,0.5,0.3,0.8,0.138,-1.3,-0.7,-2.0,0.0,281,31,67,0.463,10,28,0.357,21,39,0.538,0.537,9,9,1.0,37,35,72,11,8,4,8,32,81,11.0,0.5853658536585366,0,0.0,0
101,Zylan Cheatham,26,1,0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.8,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,-0.1,0.0,-0.1,-0.61,-19.3,-11.3,-30.6,0.0,5,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,9.0,0.5975609756097561,0,0.0,0
102,Chris Chiozza,26,34,1,10.9,0.7,2.4,0.296,0.5,1.6,0.321,0.2,0.8,0.25,0.401,0.1,0.1,0.667,0.3,0.8,1.1,1.9,0.4,0.0,0.9,0.9,2.0,4.4,0.407,0.654,0.037,2.7,7.7,5.3,22.5,1.7,0.0,28.0,13.4,-0.5,0.5,0.0,-0.004,-5.7,-0.2,-6.0,-0.4,372,24,81,0.296,17,53,0.321,7,28,0.25,0.401,2,3,0.667,9,27,36,65,13,0,32,32,67,3.0,0.6463414634146342,0,0.0,0
103,Marquese Chriss,24,34,0,10.2,1.8,3.9,0.463,0.2,0.7,0.32,1.6,3.2,0.495,0.493,0.6,1.0,0.667,1.0,2.1,3.0,0.5,0.4,0.4,0.5,1.9,4.5,14.8,0.518,0.187,0.246,10.6,22.5,16.5,7.7,1.9,3.1,10.3,21.5,0.2,0.6,0.8,0.108,-3.8,0.0,-3.8,-0.2,346,62,134,0.463,8,25,0.32,54,109,0.495,0.493,22,33,0.667,33,70,103,17,13,12,17,64,154,5.0,0.6341463414634146,0,0.0,0
104,Josh Christopher,20,74,2,18.0,3.0,6.8,0.448,0.8,2.6,0.296,2.3,4.2,0.54,0.504,1.1,1.5,0.735,0.7,1.8,2.5,2.0,0.9,0.2,1.5,1.3,7.9,12.2,0.534,0.378,0.226,4.3,11.1,7.7,17.3,2.3,0.9,17.2,21.1,-0.4,0.7,0.3,0.01,-2.2,-1.3,-3.5,-0.5,1334,224,500,0.448,56,189,0.296,168,311,0.54,0.504,83,113,0.735,52,134,186,150,65,13,114,97,587,30.0,0.24390243902439024,0,0.0,0
105,Gary Clark,27,38,1,9.9,0.9,2.3,0.375,0.7,1.8,0.4,0.1,0.5,0.278,0.534,0.2,0.3,0.7,0.6,1.8,2.4,0.5,0.3,0.2,0.3,0.5,2.7,11.4,0.547,0.795,0.114,6.6,20.1,13.2,6.4,1.7,1.8,9.8,11.6,0.3,0.4,0.7,0.092,0.1,0.0,0.1,0.2,378,33,88,0.375,28,70,0.4,5,18,0.278,0.534,7,10,0.7,23,67,90,18,13,7,10,20,101,20.0,0.43902439024390244,0,0.0,0
106,Brandon Clarke,25,64,1,19.5,4.5,7.0,0.644,0.1,0.3,0.227,4.4,6.6,0.666,0.65,1.3,2.0,0.654,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,10.4,23.7,0.66,0.049,0.291,11.1,17.8,14.4,10.3,1.5,4.9,6.3,17.7,4.4,1.9,6.3,0.241,3.1,1.1,4.2,2.0,1246,288,447,0.644,5,22,0.227,283,425,0.666,0.65,85,130,0.654,135,207,342,86,39,68,34,122,666,2.0,0.6829268292682927,0,0.0,0
107,Jordan Clarkson,29,79,1,27.1,5.9,14.1,0.419,2.4,7.6,0.318,3.5,6.5,0.535,0.504,1.8,2.2,0.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16.0,14.9,0.532,0.536,0.156,3.5,10.2,7.0,14.5,1.5,0.7,9.8,26.8,1.5,2.0,3.5,0.079,0.5,-1.2,-0.6,0.7,2141,466,1113,0.419,190,597,0.318,276,516,0.535,0.504,144,174,0.828,67,206,273,194,66,16,129,149,1266,9.0,0.5975609756097561,0,0.0,0
108,Nic Claxton,22,47,19,20.7,3.8,5.6,0.674,0.0,0.0,0.0,3.8,5.6,0.674,0.674,1.1,2.0,0.581,1.9,3.7,5.6,0.9,0.5,1.1,0.8,2.3,8.7,18.6,0.672,0.0,0.352,10.4,18.9,14.8,6.4,1.2,4.7,11.1,15.1,2.3,1.2,3.5,0.171,0.3,0.2,0.4,0.6,974,178,264,0.674,0,0,0.0,178,264,0.674,0.674,54,93,0.581,91,173,264,43,24,51,38,110,410,14.0,0.5365853658536586,0,0.0,0
109,Amir Coffey,24,69,30,22.7,3.1,6.8,0.453,1.4,3.7,0.378,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9.0,13.0,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8.0,15.8,2.3,1.5,3.8,0.116,-0.3,0.0,-0.3,0.7,1567,211,466,0.453,96,254,0.378,115,212,0.542,0.556,101,117,0.863,26,171,197,124,38,15,45,87,619,18.0,0.5121951219512195,0,0.0,0
